Player Name,X Location,Y Location,Shot Made Flag
Jamal Murray,98,137,1
Jamal Murray,230,24,0
Jamal Murray,-9,136,1
Jamal Murray,-3,24,0
Jamal Murray,226,82,1
Jamal Murray,151,38,0
Jamal Murray,-130,148,0
Jamal Murray,14,63,0
Jamal Murray,-232,26,0
Jamal Murray,-6,11,1
Jamal Murray,6,16,0
Jamal Murray,43,167,0
Jamal Murray,215,185,0
Jamal Murray,-38,92,1
Jamal Murray,-227,-8,1
Jamal Murray,-14,283,1
Jamal Murray,-140,99,0
Jamal Murray,111,176,1
Jamal Murray,9,192,1
Jamal Murray,-4,277,0
Jamal Murray,-6,16,1
Jamal Murray,95,174,0
Jamal Murray,-73,277,0
Jamal Murray,25,105,0
Jamal Murray,9,4,1
Jamal Murray,-192,196,0
Jamal Murray,-103,64,0
Jamal Murray,35,81,1
Jamal Murray,0,2,0
Jamal Murray,-183,184,0
Jamal Murray,172,193,0
Jamal Murray,1,166,0
Jamal Murray,-145,206,0
Jamal Murray,89,147,1
Jamal Murray,-101,232,1
Jamal Murray,134,219,0
Jamal Murray,150,40,1
Jamal Murray,2,3,1
Jamal Murray,2,24,1
Jamal Murray,117,239,0
Jamal Murray,-142,13,1
Jamal Murray,-106,246,1
Jamal Murray,-35,112,1
Jamal Murray,-8,6,1
Jamal Murray,146,216,1
Jamal Murray,15,10,1
Jamal Murray,51,159,0
Jamal Murray,-12,7,1
Jamal Murray,3,12,1
Jamal Murray,-5,135,0
Jamal Murray,-74,129,0
Jamal Murray,-86,24,1
Jamal Murray,0,15,0
Jamal Murray,-3,17,1
Jamal Murray,-185,163,1
Jamal Murray,139,211,0
Jamal Murray,-2,5,0
Jamal Murray,-142,109,0
Jamal Murray,-1,12,1
Jamal Murray,105,154,0
Jamal Murray,-22,26,1
Jamal Murray,40,27,1
Jamal Murray,-217,117,0
Jamal Murray,-35,27,1
Jamal Murray,-18,16,0
Jamal Murray,-9,80,1
Jamal Murray,-14,85,0
Jamal Murray,-10,8,1
Jamal Murray,-109,104,0
Jamal Murray,23,114,1
Jamal Murray,-180,171,0
Jamal Murray,-8,15,1
Jamal Murray,-49,132,1
Jamal Murray,97,249,0
Jamal Murray,-89,175,0
Jamal Murray,-32,115,1
Jamal Murray,128,70,0
Jamal Murray,-17,139,0
Jamal Murray,-27,41,0
Jamal Murray,-18,20,0
Jamal Murray,-89,225,0
Jamal Murray,1,47,1
Jamal Murray,25,59,0
Jamal Murray,-18,14,0
Jamal Murray,117,214,0
Jamal Murray,-190,146,0
Jamal Murray,2,-1,1
Jamal Murray,46,38,0
Jamal Murray,-22,12,1
Jamal Murray,-54,120,0
Jamal Murray,161,186,0
Jamal Murray,-73,110,1
Jamal Murray,-46,59,1
Jamal Murray,-214,128,1
Jamal Murray,4,-4,1
Jamal Murray,84,238,1
Jamal Murray,-186,168,0
Jamal Murray,108,223,0
Jamal Murray,-24,23,1
Jamal Murray,5,13,0
Jamal Murray,-98,251,0
Jamal Murray,-2,1,1
Jamal Murray,-116,111,0
Jamal Murray,27,246,1
Jamal Murray,-145,157,0
Jamal Murray,-57,137,0
Jamal Murray,-139,220,0
Jamal Murray,-158,197,0
Jamal Murray,-67,148,1
Jamal Murray,-12,223,1
Jamal Murray,62,190,1
Jamal Murray,62,151,0
Jamal Murray,11,96,0
Jamal Murray,-136,138,0
Jamal Murray,-8,23,1
Jamal Murray,54,252,0
Jamal Murray,231,29,0
Jamal Murray,-32,196,0
Jamal Murray,-6,16,1
Jamal Murray,13,33,0
Jamal Murray,-23,37,0
Jamal Murray,76,237,0
Jamal Murray,-6,11,1
Jamal Murray,190,148,0
Jamal Murray,15,12,1
Jamal Murray,-78,164,1
Jamal Murray,224,62,1
Jamal Murray,-44,239,0
Jamal Murray,-214,110,1
Jamal Murray,77,232,1
Jamal Murray,-79,90,0
Jamal Murray,87,166,0
Jamal Murray,79,167,1
Jamal Murray,-221,497,0
Jamal Murray,38,117,1
Jamal Murray,79,138,0
Jamal Murray,25,11,1
Jamal Murray,1,240,1
Jamal Murray,177,179,0
Jamal Murray,19,-1,1
Jamal Murray,-101,224,1
Jamal Murray,-82,134,0
Jamal Murray,-28,13,1
Jamal Murray,-232,104,1
Jamal Murray,-17,13,0
Jamal Murray,75,59,0
Jamal Murray,-191,170,1
Jamal Murray,-33,16,1
Jamal Murray,67,242,0
Jamal Murray,-36,11,1
Jamal Murray,2,195,0
Jamal Murray,107,233,0
Jamal Murray,-14,13,1
Jamal Murray,-7,118,0
Jamal Murray,-34,74,0
Jamal Murray,-230,110,0
Jamal Murray,-82,147,1
Jamal Murray,-37,251,1
Jamal Murray,-10,6,1
Jamal Murray,-218,125,1
Jamal Murray,49,255,0
Jamal Murray,-79,237,1
Jamal Murray,8,6,1
Jamal Murray,31,157,1
Jamal Murray,11,10,1
Jamal Murray,-199,159,1
Jamal Murray,58,251,1
Jamal Murray,108,231,1
Jamal Murray,-12,4,0
Jamal Murray,8,0,1
Jamal Murray,19,260,0
Jamal Murray,-8,5,1
Jamal Murray,3,1,1
Jamal Murray,28,242,0
Jamal Murray,197,156,0
Jamal Murray,16,-1,0
Jamal Murray,-129,219,0
Jamal Murray,-120,0,1
Jamal Murray,-72,36,1
Jamal Murray,-5,8,0
Jamal Murray,-14,59,1
Jamal Murray,-39,251,0
Jamal Murray,0,11,1
Jamal Murray,42,85,1
Jamal Murray,200,147,1
Jamal Murray,-52,235,0
Jamal Murray,-3,17,0
Jamal Murray,41,53,1
Jamal Murray,-22,194,1
Jamal Murray,-50,102,1
Jamal Murray,37,58,1
Jamal Murray,-88,243,0
Jamal Murray,-36,254,1
Jamal Murray,-120,127,0
Jamal Murray,-16,0,0
Jamal Murray,-14,5,1
Jamal Murray,98,167,1
Jamal Murray,-94,238,1
Jamal Murray,-143,215,0
Jamal Murray,-38,10,1
Jamal Murray,-125,238,0
Jamal Murray,-30,46,0
Jamal Murray,-68,32,0
Jamal Murray,-145,21,1
Jamal Murray,-5,-2,1
Jamal Murray,-51,185,1
Jamal Murray,-158,509,0
Jamal Murray,133,105,1
Jamal Murray,30,5,1
Jamal Murray,-6,4,1
Jamal Murray,-18,169,0
Jamal Murray,74,243,1
Jamal Murray,-5,4,0
Jamal Murray,-214,127,0
Jamal Murray,-185,152,1
Jamal Murray,67,162,0
Jamal Murray,16,11,1
Jamal Murray,196,153,0
